OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
588017722256654548,188.1348531,43.31728024,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=188.134853054&dec=43.3172802431,0.0707448,0.08970875,0.91029119,-19.66530037,-21.02246284,-21.68843269,-22.02227974,-22.26430511,10.75886154,8.91875935,0.43139261,7.55E-01,15.93527794,6.83E+13,6.66E-01
587732590645870690,200.3686466,59.08072467,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=200.368646612&dec=59.0807246738,0.0746038,0.04088607,0.95911396,-20.0247364,-21.11225319,-21.66300774,-21.88772011,-22.00196075,10.57488346,10.14962101,0.55553722,5.66E-01,1.19872761,3.58E+13,5.51E-01
587725503411061052,257.7982997,56.83932455,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=257.798299647&dec=56.8393245517,0.0642446,0.01567597,0.98432404,-15.55083466,-20.24822426,-21.02810669,-21.45734978,-21.78116035,10.73211479,9.1165781,0.31500477,-3.37E-01,29.01506424,1.58E+15,7.80E-01
587727867256701059,120.7575823,40.58367041,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=120.757582332&dec=40.5836704066,0.041587,0,1,-18.99226189,-20.12774849,-20.62004662,-20.85907364,-20.98221207,10.05590916,9.65564919,0.72642988,4.94E-01,0.79440123,1.81E+13,4.92E-01
587726877262610974,312.1538682,-7.11996039,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=312.153868156&dec=-7.119960386,0.0666221,0.03665932,0.88841587,-18.74611282,-19.85150719,-20.27151299,-20.320961,-20.37190056,9.84651947,5.97181273,0.61163592,-6.04E-01,55.73933029,3.30E+13,4.20E-01
588010137338708126,132.2181344,50.60480815,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=132.218134346&dec=50.6048081536,0.0691574,0.03313245,0.91816992,-19.39059258,-20.84151268,-21.4977684,-21.79597855,-22.07003784,10.67583656,8.61811256,0.51887679,9.15E-01,40.51884079,1.75E+14,6.56E-01
587741392646766704,144.8690435,26.93264137,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=144.869043501&dec=26.9326413741,0.0635855,0.02898551,0.9710145,-20.00735474,-21.12217712,-21.6133213,-21.80153275,-21.88740158,10.55760956,11.88221645,0.60492671,-6.39E-01,-999,-9.99E+02,4.91E-01
587741707803230325,160.1176904,24.23416553,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=160.117690431&dec=24.2341655308,0.0435961,0,1,-19.03340721,-20.37889862,-20.92794609,-21.1834259,-21.08828926,10.4317112,15.76490211,0.31561869,-5.77E-01,-999,-9.99E+02,5.49E-01
587738195041190059,120.619249,52.31126232,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=120.619248974&dec=52.3112623225,0.0700052,0.02253332,0.9774667,-18.90093803,-20.0483551,-20.50152206,-20.66145897,-20.81785965,10.01967335,6.61339569,0.50020534,5.08E-02,10.92285824,2.05E+14,4.53E-01
587733604808655307,254.4150412,31.9034116,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=254.415041199&dec=31.9034115972,0.078299,0.11013802,0.889862,-19.52192497,-20.67809486,-21.25465202,-21.51979637,-21.65465546,10.48050117,6.95225,0.41802004,-8.90E-01,21.75293541,1.02E+15,5.77E-01
