OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
587739720849621400,247.1736356,15.1666322,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=247.173635621&dec=15.1666322027,0.0510228,0.85578853,0.09063885,-18.35805702,-19.95017624,-21.09975052,-21.36699295,10.46272755,4.8969326,0.86604774,-2.31E-01,-999,-9.99E+02,7.79E-01
587732469852274953,133.1387932,35.30526574,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=133.13879319&dec=35.3052657413,0.0655843,0.89597285,0.08453376,-19.18440247,-20.95576477,-22.0906868,-22.39055824,10.84437466,7.58624792,0.70936024,-5.08E-01,15.91145611,1.07E+14,7.74E-01
587727222482469173,348.6789076,14.7116768,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=348.678907592&dec=14.7116767963,0.0812879,0.96428567,0,-19.74159813,-21.62957954,-22.72697449,-22.98613548,11.11477566,9.35662174,0.89619315,5.05E-01,13.80771542,1.85E+13,7.59E-01
587735744230588668,248.7210045,26.67262826,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=248.721004486&dec=26.6726282629,0.070191,0.88857931,0.04825743,-19.91923714,-21.49780655,-22.63507652,-22.83317184,11.07034874,14.98158741,0.78148741,7.83E-01,3.42497897,4.46E+13,7.63E-01
587741817325551774,165.0857058,24.19281784,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=165.085705758&dec=24.1928178383,0.0442046,0.86128998,0.13871007,-18.15708923,-19.72581291,-20.84207726,-21.13732338,10.33305931,7.16333342,0.60583246,-3.17E-01,-999,-9.99E+02,7.68E-01
587732483828613280,202.9734819,48.85790333,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=202.973481885&dec=48.857903334,0.0615999,0.875,0.125,-17.93456268,-19.6774292,-20.82387352,-21.07849503,10.33550644,3.39288664,0.73038107,-8.57E-01,19.03117371,2.63E+14,7.75E-01
587738564408639850,129.5970228,8.07737348,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=129.59702281&dec=8.07737348241,0.0699282,0.9147861,0.08521391,-18.77947998,-20.35273552,-21.44490814,-21.73256493,10.57534981,5.2692461,0.85409927,-6.97E-01,33.30963135,9.75E+13,7.46E-01
587739506088476726,206.2277684,31.06583608,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=206.227768411&dec=31.0658360841,0.0421052,0.83411187,0.03400147,-19.06739616,-20.912323,-22.01075363,-22.21928596,10.79945564,13.8920393,0.92979884,8.32E-01,77.45510864,3.22E+13,7.28E-01
587736897962115239,237.6083836,30.49803954,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=237.608383564&dec=30.4980395362,0.0723517,0.82444614,0.17555381,-19.26395798,-20.8456707,-21.84225273,-22.08621407,10.74059677,5.96756411,0.73306435,6.48E-01,15.19268227,3.56E+13,7.13E-01
587735665842454705,211.2318021,54.40296821,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=211.231802135&dec=54.4029682056,0.0803632,1,0,-20.22932243,-22.1012249,-23.22169876,-23.52362633,11.31469059,12.10942173,0.81097078,1.42E+00,13.95059109,8.37E+12,7.60E-01
588015509806514336,0.65150646,0.49571768,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=0.651506460692&dec=0.4957176834,0.0787894,0.84244001,0.08459245,-18.44259644,-19.98295212,-21.11249924,-21.39145088,10.45303154,4.37465191,0.54762101,6.07E-01,13.9035244,1.49E+14,7.73E-01
587741532247818359,168.8005367,28.49812162,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=168.800536733&dec=28.4981216189,0.048073,0.83333331,0.1111111,-18.31270218,-19.9196949,-21.00251579,-21.27278519,10.39265728,5.81226063,0.59434247,-3.38E-01,-999,-9.99E+02,7.35E-01
587741533864001661,183.2735349,30.64298079,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=183.273534925&dec=30.6429807944,0.0625882,0.86541319,0.13458687,-19.36302376,-21.14216232,-22.33876419,-22.588974,10.95449448,7.422822,0.79415387,-8.53E-01,-999,-9.99E+02,7.95E-01
